axis	r_axis	conformance_pct_axis	claim	layer_refutation_adjusted	evidence	blocking_gap_axis
V5	R8	47	Title synthesis: 1,344/1,345 series have non-empty titles; prior fear (needs_title_synthesis_locale_native everywhere) is resolved.	EXECUTED-REAL	"Spot check: git show origin/main:config/source_of_truth/manga_series_plans/en_US/adhd_forge_mystery__en_US__action_battle__series01.yaml | grep '^title:': 'title: ""Hammerstorm Brigade""' ; Manual count per locale: en_US 268/268, ja_JP 268/269, ko_KR 266/266, zh_CN 268/268, zh_TW 274/274 ; Only 1 blank found (ja_JP duplicate entry artifact, not a data gap)"	8 registry locales have ZERO manga series plans (es_US, es_ES, fr_FR, de_DE, it_IT, hu_HU, zh_SG, zh_HK). These are documented as Phase 3+ work in the reconciliation spec (v1.1, §8 OQ-4 disposition); the operator has not prioritized non-CJK + non-en + non-ja markets yet. Until those 8 locales receiv
V6	render-truth	15	RENDER_PROGRESS sleep_vol1 ep_001 claims 34 panels with status=ok and documented byte sizes (2.6MB–3.1MB each)	RESEARCHED	artifacts/catalog/brand1_deep/stillness_press/en_US/manga/rendered/stillness_press_sleep_vol1/ep_001/RENDER_PROGRESS.tsv exists on origin/main ; git show origin/main:...sleep_vol1/.../RENDER_PROGRESS.tsv returns 34 rows, all status=ok with bytes 1.5MB–3.1MB, seconds 12–80	RENDER_PROGRESS.tsv files reference non-existent image paths on origin/main (sleep_vol1 and somatic_vol1 have metadata but zero actual panel files in catalog); OPD-20260629-003 dispatch bug fix unmerged; no current GPU saturation ops deployed to main.
V6	render-truth	15	RENDER_PROGRESS sleep_vol1 panel images MISSING: no .png/.jpg files exist at expected catalog path	EXECUTED-REAL	git ls-tree -r origin/main artifacts/catalog/brand1_deep/stillness_press/en_US/manga/rendered/stillness_press_sleep_vol1/ returns only RENDER_PROGRESS.tsv ; git ls-tree -r origin/main --name-only | grep sleep_vol1 finds only portrait stub in unused_pics/, zero panel renders	RENDER_PROGRESS.tsv files reference non-existent image paths on origin/main (sleep_vol1 and somatic_vol1 have metadata but zero actual panel files in catalog); OPD-20260629-003 dispatch bug fix unmerged; no current GPU saturation ops deployed to main.
V6	render-truth	15	RENDER_PROGRESS somatic_vol1 ep_001 claims 34 panels with status=ok, same issue: metadata exists, images missing	CONFIG-EXISTS	artifacts/catalog/brand1_deep/stillness_press/en_US/manga/rendered/stillness_press_somatic_vol1/ep_001/RENDER_PROGRESS.tsv on origin/main ; git ls-tree -r origin/main artifacts/catalog/brand1_deep/stillness_press/en_US/manga/rendered/stillness_press_somatic_vol1/ returns only RENDER_PROGRESS.tsv, zero .png files	RENDER_PROGRESS.tsv files reference non-existent image paths on origin/main (sleep_vol1 and somatic_vol1 have metadata but zero actual panel files in catalog); OPD-20260629-003 dispatch bug fix unmerged; no current GPU saturation ops deployed to main.
V6	render-truth	15	April v4 series (stillness_press__ahjan__en_US__anxiety__the_alarm_is_lying) contains 386 real LFS-backed images, all >=50KB, total 212.79 MB	EXECUTED-REAL	git ls-tree -r origin/main artifacts/manga/stillness_press__ahjan__en_US__anxiety__the_alarm_is_lying/ --name-only | grep -E '\.(png|jpg|jpeg)$' | wc -l = 386 ; Sample: artifacts/manga/.../composed_v3_qwen/ep_001_seg_001.jpg (LFS pointer shows size 115734 bytes) ; Comprehensive byte count via LFS size field: all 386 images >=50KB, sum = 212790093 bytes	RENDER_PROGRESS.tsv files reference non-existent image paths on origin/main (sleep_vol1 and somatic_vol1 have metadata but zero actual panel files in catalog); OPD-20260629-003 dispatch bug fix unmerged; no current GPU saturation ops deployed to main.
V6	render-truth	15	Contact sheets series2 and series3 exist on origin/main (652KB and 865KB respectively)	EXECUTED-REAL	artifacts/catalog/brand1_deep/stillness_press/en_US/manga/rendered/series2_contact_sheet.png blob size 652951 bytes ; artifacts/catalog/brand1_deep/stillness_press/en_US/manga/rendered/series3_contact_sheet.png blob size 865344 bytes	RENDER_PROGRESS.tsv files reference non-existent image paths on origin/main (sleep_vol1 and somatic_vol1 have metadata but zero actual panel files in catalog); OPD-20260629-003 dispatch bug fix unmerged; no current GPU saturation ops deployed to main.
V6	render-truth	15	Working tree bodyholds_vol1 RENDER_PROGRESS contains 34 rows with bytes=1, seconds=0.0 (pure stubs)	EXECUTED-REAL	artifacts/catalog/brand1_deep/stillness_press/en_US/manga/rendered/stillness_press_bodyholds_vol1/ep_001/RENDER_PROGRESS.tsv ; File size 676 bytes (header + 34 stub rows); ls -l shows no actual panel image files in directory	RENDER_PROGRESS.tsv files reference non-existent image paths on origin/main (sleep_vol1 and somatic_vol1 have metadata but zero actual panel files in catalog); OPD-20260629-003 dispatch bug fix unmerged; no current GPU saturation ops deployed to main.
V6	render-truth	15	OPD-20260629-003 operator decision documented: CJK lane prioritized, manga stall root cause = dispatch bug (333 zombie jobs + permission-denied)	RESEARCHED	artifacts/coordination/operator_decisions_log.tsv row OPD-20260629-003 on origin/main ; Decision text: 'Order A — CJK data lane owns the GPU first'; rationale: 'DISPATCH bug (permission-denied + 333 zombie doing-jobs + no cross-queue gpu_heavy lock), not throughput — fixable read-only, deploy post-CJK'	RENDER_PROGRESS.tsv files reference non-existent image paths on origin/main (sleep_vol1 and somatic_vol1 have metadata but zero actual panel files in catalog); OPD-20260629-003 dispatch bug fix unmerged; no current GPU saturation ops deployed to main.
V6	render-truth	15	Pearl Star manga queue-unblock fix staged on origin/agent/pearl-star-manga-queue-unblock-20260629 (531 insertions), NOT merged to origin/main	SPECCED	git diff --stat origin/main...origin/agent/pearl-star-manga-queue-unblock-20260629 shows 16 files, 531 insertions ; Key new files: scripts/pearl_star/install/reset_zombie_procrastinate_jobs.py, scripts/pearl_star/worker/gpu_heavy_lock.py ; git log shows 1 commit: '4387a6905b fix(pearl-star): stage manga queue-unblock bundle + log OPD-20260629-003'; not on origin/main	RENDER_PROGRESS.tsv files reference non-existent image paths on origin/main (sleep_vol1 and somatic_vol1 have metadata but zero actual panel files in catalog); OPD-20260629-003 dispatch bug fix unmerged; no current GPU saturation ops deployed to main.
V6	render-truth	15	Snapshot branch origin/snapshot/pearl-star-manga-saturation-wip-20260702 contains 8 new ops files (878 insertions), labeled killed-agent WIP, NOT production-ready	SPECCED	git diff --stat origin/main...origin/snapshot/pearl-star-manga-saturation-wip-20260702 lists: install_saturation_stack.sh (57 lines), manga_saturation_refiller.py (402 lines), manga_render_backlog.py (290 lines), 4 systemd unit files ; git log: 'b199122d26 snapshot(pearl_star): manga saturation ops — killed-agent WIP preserved (NO PR, review/resume later)' ; All files are new additions, zero delet	RENDER_PROGRESS.tsv files reference non-existent image paths on origin/main (sleep_vol1 and somatic_vol1 have metadata but zero actual panel files in catalog); OPD-20260629-003 dispatch bug fix unmerged; no current GPU saturation ops deployed to main.
V7	R7	8	19 live manga QC gates exist on origin/main, spanning 4 categories: structural (story handoff, image manifest, lettering-silence match), pacing (silence density, words-per-page), character (face-distance collision scan), and narrative (chapter hook families, restraint/yearning signal checks, catalog homogeneity)	CODE-WIRED	phoenix_v4/manga/qc/{bestseller_gate.py, hook_gate.py, restraint_gate.py, yearning_gate.py, pacing_gates.py, chapter_qc.py} all live and imported ; config/manga/gate_registry.yaml documents 30 gate IDs including MANGA.CHAPTER.HOOK, MANGA.SILENCE.DENSITY, MANGA.GENRE.AUTHENTICITY, MANGA.RESTRAINT.EXPOSITION, MANGA.YEARNING.PACING, MANGA.CATALOG.HOMOGENEITY ; artifacts/research/MANGA_QA_RUBRIC.md (d	No blind-judge protocol exists and zero professionally-vetted manga samples have been collected. Before certification can proceed, a sample of 10 generated chapters must be gathered (across 3–5 genres, matching published comparable titles), submitted to recruited Japanese manga professionals (n=2–3,
V7	R7	8	bestseller_gate.py measures prose-register quality: substance checks (panel count min 6, placeholder/TODO/FIXME/stub markers, degenerate dialogue) and healing cardinal sins (emotional labeling in caption 'she felt sad', cliffhanger endings, villain/threat language, raised voices)	CODE-WIRED	phoenix_v4/manga/qc/bestseller_gate.py lines 1–50: _STUB_RE, _LABELING_RE, _CLIFFHANGER_RE, _THREAT_WORDS defined ; _MIN_PANELS=6, _MIN_PAGES=2 hard-coded ; Scope: per-chapter; severity: BLOCKER on substance, promoted BLOCKER on craft gates	No blind-judge protocol exists and zero professionally-vetted manga samples have been collected. Before certification can proceed, a sample of 10 generated chapters must be gathered (across 3–5 genres, matching published comparable titles), submitted to recruited Japanese manga professionals (n=2–3,
V7	R7	8	qa_face_distance.py instruments character individuation via facenet-pytorch (VGGFace2 weights) cosine distance: thresholds <0.4 fail, 0.4–0.55 borderline, ≥0.55 pass. Fallback: DeepFace Facenet512 for borderline cross-check. Thresholds are PROPOSED per spec §2.5; empirical calibration deferred to Phase E	CONFIG-EXISTS	scripts/manga/character_individuation/qa_face_distance.py lines 1–50: DEFAULT_FAIL_THRESHOLD=0.4, DEFAULT_BORDERLINE_THRESHOLD=0.55 ; _facenet_models(), _facenet_embed(), _cosine_distance() all implemented ; _deepface_distance() lazy-import fallback	No blind-judge protocol exists and zero professionally-vetted manga samples have been collected. Before certification can proceed, a sample of 10 generated chapters must be gathered (across 3–5 genres, matching published comparable titles), submitted to recruited Japanese manga professionals (n=2–3,
V7	R7	8	Craft research documents exist for 8+ professional iyashikei/slice-of-life benchmarks (Yotsuba&!, Barakamon, March Comes in Like a Lion, Mushishi, Flying Witch, Non Non Biyori, Hidamari Sketch, A Bride's Story) with detailed panel-level scaffolding, pacing formulas, and genre-specific visual grammars	RESEARCHED	artifacts/research/manga_quality_bar/01_iyashikei_craft_study.md (501 lines, dated 2026-04-17) — series-by-series analysis with panel count/page formulas, dialogue density, silence ratios, establishing shot cadence, character vs environment ratio, season marking, chapter structure arcs, emotional register, key craft moves ; docs/research/manga_craft/iyashikei_minimalism.md § 1–10: market contract,	No blind-judge protocol exists and zero professionally-vetted manga samples have been collected. Before certification can proceed, a sample of 10 generated chapters must be gathered (across 3–5 genres, matching published comparable titles), submitted to recruited Japanese manga professionals (n=2–3,
V7	R7	8	Genre style bibles exist for 14 manga types (shonen, shojo, romance, seinen, josei, mecha, sci-fi cyberpunk, dark fantasy, historical period, psychological thriller, action battle, BL slice-of-life, kodomomuke educational, workplace drama, webtoon formats)	RESEARCHED	docs/research/manga_craft/ contains {action_battle.md, BL_slice_of_life.md, dark_fantasy.md, graphic_novel_us_literary.md, historical_period.md, josei_adult_memoir.md, kodomomuke_educational.md, mecha.md, psychological_thriller.md, sci_fi_cyberpunk.md, shojo_romance.md, shonen_encouragement.md, sports_competition.md, supernatural_mystery.md, webtoon_vertical_drama.md, webtoon_vertical_romance.md, 	No blind-judge protocol exists and zero professionally-vetted manga samples have been collected. Before certification can proceed, a sample of 10 generated chapters must be gathered (across 3–5 genres, matching published comparable titles), submitted to recruited Japanese manga professionals (n=2–3,
V7	R7	8	Professional manga studio pipeline is documented (9 stages: ideation, character design sheets, setting sheets, Name/thumbnail stage, rough pencils, inks+screentones, lettering, editorial review, tankōbon assembly) with time/cost estimates per 24-page chapter	RESEARCHED	artifacts/research/manga_quality_bar/02_studio_workflow_gap_analysis.md §1: Stage 1–9 with time costs, gap analysis reveals Name stage is 'most important' and 'most architecturally significant gap' to produce variable panel layouts	No blind-judge protocol exists and zero professionally-vetted manga samples have been collected. Before certification can proceed, a sample of 10 generated chapters must be gathered (across 3–5 genres, matching published comparable titles), submitted to recruited Japanese manga professionals (n=2–3,
V7	R7	8	10 structural gaps identified between spec and execution: (1) no Name stage → uniform horizontal-strip layouts, (2) lettering specs exist but text does not render on final pages, (3) no character consistency reference (LoRA/IP-Adapter), (4) 64×64 fixture images instead of real FLUX, (5) no panel borders/gutters, (6) style_bible.json is 5-line stub, (7) no location asset registry, (8) no panel borders/gutters, (9) no splash page support, (10) no tankōbon assembly	RESEARCHED	artifacts/research/manga_quality_bar/02_studio_workflow_gap_analysis.md §4 Gaps 1–10 with impact rating (CRITICAL/HIGH/MEDIUM/LOW) and implementation cost (1 day to 6–12 weeks)	No blind-judge protocol exists and zero professionally-vetted manga samples have been collected. Before certification can proceed, a sample of 10 generated chapters must be gathered (across 3–5 genres, matching published comparable titles), submitted to recruited Japanese manga professionals (n=2–3,
V7	R7	8	Visual compositing architecture is partially live (L0 background + L2 character-cutout) but cutout-precision poor (rembg isnet-anime/u2net_human_seg retain visible prop fragments: chair edges, stove fragments when character body touches scene props). ToonOut (BiRefNet fine-tuned on 1228 anime images, MIT-licensed, 99% pixel accuracy on 'Action' category with held items) is recommended drop-in swap but not yet deployed	RESEARCHED	artifacts/research/manga_layer_compositing_research_2026-05-20.md §2.1: ToonOut paper (2025-09-08), reported metrics, MIT license, inference cost same as BiRefNet ; §1 visual diagnosis cites v4_b_test alpha images (not re-verifiable in this session; operator review noted floating + misaligned table edge)	No blind-judge protocol exists and zero professionally-vetted manga samples have been collected. Before certification can proceed, a sample of 10 generated chapters must be gathered (across 3–5 genres, matching published comparable titles), submitted to recruited Japanese manga professionals (n=2–3,
V7	R7	8	Average-face attractor problem (diffusion models collapse diverse characters toward ~5 training-distribution modes) is documented with qualitative model comparison (Animagine strong attractor, Qwen-Image moderate-weak, FLUX-schnell context-dependent). Tier-1 workarounds (12-axis prompt stack, anchor-mangaka tokens, negative prompts) are theoretically effective (~70% resolution rate) but not empirically validated against operator-approved character pairs	RESEARCHED	artifacts/research/average_face_problem_eval_2026-05-02.md §2: model comparison table, Tier 1–3 workarounds, §4 layered approach recommendation, §5 deferred items including 'empirical calibration — what threshold values actually correspond to operator says these are clearly different people' ; config/manga/character_design_axes.yaml, config/manga/character_design_template.yaml exist ; config/manga	No blind-judge protocol exists and zero professionally-vetted manga samples have been collected. Before certification can proceed, a sample of 10 generated chapters must be gathered (across 3–5 genres, matching published comparable titles), submitted to recruited Japanese manga professionals (n=2–3,
V7	R7	8	ZERO human blind-judge protocol for manga exists on origin/main. No artifact records a verdict from Japanese manga professionals (mangaka, editors, studios). Book lane has documented blind-10 protocol (Pearl_Prime_100_to_1000 Bestseller Build Program §3: operator human review of gate-passed chapters); no manga analog exists	ABSENT	git grep -r 'blind.*manga\|manga.*blind' origin/main returns zero hits ; git ls-tree -r origin/main artifacts/qa/ --name-only | grep -i 'manga.*judge\|blind' returns only dashboard_manga_character_panel.md (character image catalog), not judge artifact ; artifacts/research/ has zero files matching '*judge*' or '*blind*' or '*professional.*review*' scoped to manga	No blind-judge protocol exists and zero professionally-vetted manga samples have been collected. Before certification can proceed, a sample of 10 generated chapters must be gathered (across 3–5 genres, matching published comparable titles), submitted to recruited Japanese manga professionals (n=2–3,
V7	R7	8	ZERO bytes of EXECUTED-REAL manga final pages exist (>50KB per page artifact). All chapter renders in artifacts/manga/ are fixture composites (64×64 test images, no real FLUX generation, no lettering text on pages, no panel borders)	ABSENT	artifacts/research/manga_layer_compositing_research_2026-05-20.md provenance note: 'experiments/v4_b_test/ cutout files cited above are NOT present in the repo checkout (cannot be re-verified)' ; artifacts/qa/manga_production_ops_gate_20260622.md + artifacts/qa/dashboard_manga_character_panel_2026-05-10.md reference catalog image paths; no final-page composite samples found ; Gap analysis doc: 'Re	No blind-judge protocol exists and zero professionally-vetted manga samples have been collected. Before certification can proceed, a sample of 10 generated chapters must be gathered (across 3–5 genres, matching published comparable titles), submitted to recruited Japanese manga professionals (n=2–3,
V7	R7	8	Professional rubric axes (derived from craft bibles + quality-bar research) span: (1) panel-flow readability (page turns, spread pacing, beat timing), (2) tobira/chapter-opening placement (establishing shot convention, mood hook), (3) character consistency (face geometry, eye proportions, outfit details across panels), (4) lettering craft (bubble placement, font register, SFX integration), (5) screentone/halftone quality (tone density per mood, atmospheric use, black-fill ratio by genre), (6) anatomy (proportions, hand gesture, action poses), (7) genre-trope fluency (shonen escalation patterns, iyashikei restraint, josei yearning, etc.), (8) panel border/gutter structure (readability, rhythm)	SPECCED	docs/research/manga_craft/iyashikei_minimalism.md §2–9 defines visual grammar axes, failure modes, panel-level scaffolding ; artifacts/research/manga_quality_bar/01_iyashikei_craft_study.md defines per-series metrics (panel count, words/page, silent-panel ratio, establishing-shot cadence, character vs environment ratio, time-of-day marking, chapter structure) ; artifacts/research/manga_quality_bar	No blind-judge protocol exists and zero professionally-vetted manga samples have been collected. Before certification can proceed, a sample of 10 generated chapters must be gathered (across 3–5 genres, matching published comparable titles), submitted to recruited Japanese manga professionals (n=2–3,
