cell	persona	topic	engine	listings	status	source	epub_assembled	detail
gen_x_sandwich__depression__overwhelm	gen_x_sandwich	depression	overwhelm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_x_sandwich__depression__watcher	gen_x_sandwich	depression	watcher	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_x_sandwich__financial_anxiety__overwhelm	gen_x_sandwich	financial_anxiety	overwhelm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_x_sandwich__financial_anxiety__shame	gen_x_sandwich	financial_anxiety	shame	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_x_sandwich__financial_anxiety__spiral	gen_x_sandwich	financial_anxiety	spiral	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_x_sandwich__financial_stress__overwhelm	gen_x_sandwich	financial_stress	overwhelm	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_x_sandwich__financial_stress__shame	gen_x_sandwich	financial_stress	shame	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_x_sandwich__financial_stress__spiral	gen_x_sandwich	financial_stress	spiral	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_x_sandwich__grief__grief	gen_x_sandwich	grief	grief	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_x_sandwich__grief__watcher	gen_x_sandwich	grief	watcher	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_x_sandwich__imposter_syndrome__comparison	gen_x_sandwich	imposter_syndrome	comparison	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_x_sandwich__imposter_syndrome__shame	gen_x_sandwich	imposter_syndrome	shame	1	EXERCISE-BANK-DEFICIT	BUILT	NO	no per-cell EXERCISE atoms
gen_x_sandwich__overthinking__false_alarm	gen_x_sandwich	overthinking	false_alarm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_x_sandwich__overthinking__spiral	gen_x_sandwich	overthinking	spiral	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_x_sandwich__overthinking__watcher	gen_x_sandwich	overthinking	watcher	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_x_sandwich__self_worth__comparison	gen_x_sandwich	self_worth	comparison	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_x_sandwich__self_worth__shame	gen_x_sandwich	self_worth	shame	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_x_sandwich__sleep_anxiety__false_alarm	gen_x_sandwich	sleep_anxiety	false_alarm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_x_sandwich__sleep_anxiety__overwhelm	gen_x_sandwich	sleep_anxiety	overwhelm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_x_sandwich__sleep_anxiety__spiral	gen_x_sandwich	sleep_anxiety	spiral	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_x_sandwich__social_anxiety__comparison	gen_x_sandwich	social_anxiety	comparison	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_x_sandwich__social_anxiety__false_alarm	gen_x_sandwich	social_anxiety	false_alarm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_x_sandwich__social_anxiety__shame	gen_x_sandwich	social_anxiety	shame	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_x_sandwich__somatic_healing__overwhelm	gen_x_sandwich	somatic_healing	overwhelm	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_x_sandwich__somatic_healing__watcher	gen_x_sandwich	somatic_healing	watcher	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_z_professionals__anxiety__comparison	gen_z_professionals	anxiety	comparison	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_z_professionals__anxiety__false_alarm	gen_z_professionals	anxiety	false_alarm	2	ASSEMBLED-PASS	BUILT	YES	register PASS
gen_z_professionals__anxiety__grief	gen_z_professionals	anxiety	grief	2	OTHER-GATE-FAIL	BUILT	NO	chapter_flow, book_quality_gate
gen_z_professionals__anxiety__overwhelm	gen_z_professionals	anxiety	overwhelm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_z_professionals__anxiety__shame	gen_z_professionals	anxiety	shame	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_z_professionals__anxiety__spiral	gen_z_professionals	anxiety	spiral	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_z_professionals__anxiety__watcher	gen_z_professionals	anxiety	watcher	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_z_professionals__boundaries__comparison	gen_z_professionals	boundaries	comparison	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_z_professionals__boundaries__false_alarm	gen_z_professionals	boundaries	false_alarm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_z_professionals__boundaries__shame	gen_z_professionals	boundaries	shame	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_z_professionals__burnout__grief	gen_z_professionals	burnout	grief	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_z_professionals__burnout__overwhelm	gen_z_professionals	burnout	overwhelm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_z_professionals__burnout__watcher	gen_z_professionals	burnout	watcher	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_z_professionals__compassion_fatigue__grief	gen_z_professionals	compassion_fatigue	grief	1	REGISTER-FAIL	BUILT	NO	F2=1, F6=0, F12=0
gen_z_professionals__compassion_fatigue__overwhelm	gen_z_professionals	compassion_fatigue	overwhelm	1	ASSEMBLED-PASS	BUILT	YES	register PASS
gen_z_professionals__compassion_fatigue__watcher	gen_z_professionals	compassion_fatigue	watcher	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_z_professionals__courage__false_alarm	gen_z_professionals	courage	false_alarm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_z_professionals__courage__shame	gen_z_professionals	courage	shame	2	ASSEMBLED-PASS	BUILT	YES	register PASS
gen_z_professionals__courage__spiral	gen_z_professionals	courage	spiral	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_z_professionals__depression__grief	gen_z_professionals	depression	grief	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_z_professionals__depression__overwhelm	gen_z_professionals	depression	overwhelm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_z_professionals__depression__watcher	gen_z_professionals	depression	watcher	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_z_professionals__financial_anxiety__overwhelm	gen_z_professionals	financial_anxiety	overwhelm	2	REGISTER-FAIL	BUILT	NO	F2=1, F6=0, F12=0
gen_z_professionals__financial_anxiety__shame	gen_z_professionals	financial_anxiety	shame	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_z_professionals__financial_anxiety__spiral	gen_z_professionals	financial_anxiety	spiral	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_z_professionals__financial_stress__overwhelm	gen_z_professionals	financial_stress	overwhelm	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_z_professionals__financial_stress__shame	gen_z_professionals	financial_stress	shame	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_z_professionals__financial_stress__spiral	gen_z_professionals	financial_stress	spiral	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_z_professionals__grief__grief	gen_z_professionals	grief	grief	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_z_professionals__grief__watcher	gen_z_professionals	grief	watcher	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_z_professionals__imposter_syndrome__comparison	gen_z_professionals	imposter_syndrome	comparison	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_z_professionals__imposter_syndrome__shame	gen_z_professionals	imposter_syndrome	shame	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_z_professionals__overthinking__false_alarm	gen_z_professionals	overthinking	false_alarm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_z_professionals__overthinking__spiral	gen_z_professionals	overthinking	spiral	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_z_professionals__overthinking__watcher	gen_z_professionals	overthinking	watcher	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_z_professionals__self_worth__comparison	gen_z_professionals	self_worth	comparison	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_z_professionals__self_worth__shame	gen_z_professionals	self_worth	shame	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_z_professionals__sleep_anxiety__false_alarm	gen_z_professionals	sleep_anxiety	false_alarm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_z_professionals__sleep_anxiety__overwhelm	gen_z_professionals	sleep_anxiety	overwhelm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_z_professionals__sleep_anxiety__spiral	gen_z_professionals	sleep_anxiety	spiral	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_z_professionals__social_anxiety__comparison	gen_z_professionals	social_anxiety	comparison	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_z_professionals__social_anxiety__false_alarm	gen_z_professionals	social_anxiety	false_alarm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_z_professionals__social_anxiety__shame	gen_z_professionals	social_anxiety	shame	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_z_professionals__somatic_healing__overwhelm	gen_z_professionals	somatic_healing	overwhelm	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_z_professionals__somatic_healing__watcher	gen_z_professionals	somatic_healing	watcher	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
healthcare_rns__anxiety__comparison	healthcare_rns	anxiety	comparison	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
healthcare_rns__anxiety__false_alarm	healthcare_rns	anxiety	false_alarm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
healthcare_rns__anxiety__grief	healthcare_rns	anxiety	grief	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
healthcare_rns__anxiety__overwhelm	healthcare_rns	anxiety	overwhelm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
healthcare_rns__anxiety__shame	healthcare_rns	anxiety	shame	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
healthcare_rns__anxiety__spiral	healthcare_rns	anxiety	spiral	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
healthcare_rns__anxiety__watcher	healthcare_rns	anxiety	watcher	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
healthcare_rns__boundaries__comparison	healthcare_rns	boundaries	comparison	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
healthcare_rns__boundaries__false_alarm	healthcare_rns	boundaries	false_alarm	2	EXERCISE-BANK-DEFICIT	BUILT	NO	no per-cell EXERCISE atoms
healthcare_rns__boundaries__shame	healthcare_rns	boundaries	shame	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
healthcare_rns__burnout__grief	healthcare_rns	burnout	grief	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
healthcare_rns__burnout__overwhelm	healthcare_rns	burnout	overwhelm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
healthcare_rns__burnout__watcher	healthcare_rns	burnout	watcher	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
healthcare_rns__compassion_fatigue__grief	healthcare_rns	compassion_fatigue	grief	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
healthcare_rns__compassion_fatigue__overwhelm	healthcare_rns	compassion_fatigue	overwhelm	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
healthcare_rns__compassion_fatigue__watcher	healthcare_rns	compassion_fatigue	watcher	1	ASSEMBLED-PASS	BUILT	YES	register PASS
healthcare_rns__courage__false_alarm	healthcare_rns	courage	false_alarm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
healthcare_rns__courage__shame	healthcare_rns	courage	shame	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
healthcare_rns__courage__spiral	healthcare_rns	courage	spiral	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
healthcare_rns__depression__grief	healthcare_rns	depression	grief	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
healthcare_rns__depression__overwhelm	healthcare_rns	depression	overwhelm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
healthcare_rns__depression__watcher	healthcare_rns	depression	watcher	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
healthcare_rns__financial_anxiety__overwhelm	healthcare_rns	financial_anxiety	overwhelm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
healthcare_rns__financial_anxiety__shame	healthcare_rns	financial_anxiety	shame	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
healthcare_rns__financial_anxiety__spiral	healthcare_rns	financial_anxiety	spiral	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
healthcare_rns__financial_stress__overwhelm	healthcare_rns	financial_stress	overwhelm	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
healthcare_rns__financial_stress__shame	healthcare_rns	financial_stress	shame	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
healthcare_rns__financial_stress__spiral	healthcare_rns	financial_stress	spiral	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
healthcare_rns__grief__grief	healthcare_rns	grief	grief	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
healthcare_rns__grief__watcher	healthcare_rns	grief	watcher	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
healthcare_rns__imposter_syndrome__comparison	healthcare_rns	imposter_syndrome	comparison	1	EXERCISE-BANK-DEFICIT	BUILT	NO	no per-cell EXERCISE atoms
healthcare_rns__imposter_syndrome__shame	healthcare_rns	imposter_syndrome	shame	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
healthcare_rns__overthinking__false_alarm	healthcare_rns	overthinking	false_alarm	2	REGISTER-FAIL	BUILT	NO	F2=1, F6=0, F12=0
healthcare_rns__overthinking__spiral	healthcare_rns	overthinking	spiral	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
healthcare_rns__overthinking__watcher	healthcare_rns	overthinking	watcher	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
healthcare_rns__self_worth__comparison	healthcare_rns	self_worth	comparison	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
healthcare_rns__self_worth__shame	healthcare_rns	self_worth	shame	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
healthcare_rns__sleep_anxiety__false_alarm	healthcare_rns	sleep_anxiety	false_alarm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
healthcare_rns__sleep_anxiety__overwhelm	healthcare_rns	sleep_anxiety	overwhelm	2	ASSEMBLED-PASS	BUILT	YES	register PASS
healthcare_rns__sleep_anxiety__spiral	healthcare_rns	sleep_anxiety	spiral	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
healthcare_rns__social_anxiety__comparison	healthcare_rns	social_anxiety	comparison	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
healthcare_rns__social_anxiety__false_alarm	healthcare_rns	social_anxiety	false_alarm	2	ASSEMBLED-PASS	BUILT	YES	register PASS
healthcare_rns__social_anxiety__shame	healthcare_rns	social_anxiety	shame	2	ASSEMBLED-PASS	BUILT	YES	register PASS
healthcare_rns__somatic_healing__overwhelm	healthcare_rns	somatic_healing	overwhelm	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
healthcare_rns__somatic_healing__watcher	healthcare_rns	somatic_healing	watcher	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
millennial_women_professionals__anxiety__comparison	millennial_women_professionals	anxiety	comparison	2	ASSEMBLED-PASS	BUILT	YES	register PASS
millennial_women_professionals__anxiety__false_alarm	millennial_women_professionals	anxiety	false_alarm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
millennial_women_professionals__anxiety__grief	millennial_women_professionals	anxiety	grief	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
millennial_women_professionals__anxiety__overwhelm	millennial_women_professionals	anxiety	overwhelm	2	REGISTER-FAIL	BUILT	NO	F2=1, F6=0, F12=0
millennial_women_professionals__anxiety__shame	millennial_women_professionals	anxiety	shame	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
millennial_women_professionals__anxiety__spiral	millennial_women_professionals	anxiety	spiral	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
millennial_women_professionals__anxiety__watcher	millennial_women_professionals	anxiety	watcher	2	ASSEMBLED-PASS	BUILT	YES	register PASS
millennial_women_professionals__boundaries__comparison	millennial_women_professionals	boundaries	comparison	2	ASSEMBLED-PASS	BUILT	YES	register PASS
millennial_women_professionals__boundaries__false_alarm	millennial_women_professionals	boundaries	false_alarm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
millennial_women_professionals__boundaries__shame	millennial_women_professionals	boundaries	shame	2	ASSEMBLED-PASS	BUILT	YES	register PASS
millennial_women_professionals__burnout__grief	millennial_women_professionals	burnout	grief	2	ASSEMBLED-PASS	BUILT	YES	register PASS
millennial_women_professionals__burnout__overwhelm	millennial_women_professionals	burnout	overwhelm	2	ASSEMBLED-PASS	BUILT	YES	register PASS
millennial_women_professionals__burnout__watcher	millennial_women_professionals	burnout	watcher	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
millennial_women_professionals__compassion_fatigue__grief	millennial_women_professionals	compassion_fatigue	grief	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
millennial_women_professionals__compassion_fatigue__overwhelm	millennial_women_professionals	compassion_fatigue	overwhelm	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
millennial_women_professionals__compassion_fatigue__watcher	millennial_women_professionals	compassion_fatigue	watcher	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
millennial_women_professionals__courage__false_alarm	millennial_women_professionals	courage	false_alarm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
millennial_women_professionals__courage__shame	millennial_women_professionals	courage	shame	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
millennial_women_professionals__courage__spiral	millennial_women_professionals	courage	spiral	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
millennial_women_professionals__depression__grief	millennial_women_professionals	depression	grief	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
millennial_women_professionals__depression__overwhelm	millennial_women_professionals	depression	overwhelm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
millennial_women_professionals__depression__watcher	millennial_women_professionals	depression	watcher	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
millennial_women_professionals__financial_anxiety__overwhelm	millennial_women_professionals	financial_anxiety	overwhelm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
millennial_women_professionals__financial_anxiety__shame	millennial_women_professionals	financial_anxiety	shame	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
millennial_women_professionals__financial_anxiety__spiral	millennial_women_professionals	financial_anxiety	spiral	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
millennial_women_professionals__financial_stress__overwhelm	millennial_women_professionals	financial_stress	overwhelm	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
millennial_women_professionals__financial_stress__shame	millennial_women_professionals	financial_stress	shame	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
millennial_women_professionals__financial_stress__spiral	millennial_women_professionals	financial_stress	spiral	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
millennial_women_professionals__grief__grief	millennial_women_professionals	grief	grief	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
millennial_women_professionals__grief__watcher	millennial_women_professionals	grief	watcher	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
millennial_women_professionals__imposter_syndrome__comparison	millennial_women_professionals	imposter_syndrome	comparison	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
millennial_women_professionals__imposter_syndrome__shame	millennial_women_professionals	imposter_syndrome	shame	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
millennial_women_professionals__overthinking__false_alarm	millennial_women_professionals	overthinking	false_alarm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
millennial_women_professionals__overthinking__spiral	millennial_women_professionals	overthinking	spiral	2	ASSEMBLED-PASS	BUILT	YES	register PASS
millennial_women_professionals__overthinking__watcher	millennial_women_professionals	overthinking	watcher	2	ASSEMBLED-PASS	BUILT	YES	register PASS
millennial_women_professionals__self_worth__comparison	millennial_women_professionals	self_worth	comparison	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
millennial_women_professionals__self_worth__shame	millennial_women_professionals	self_worth	shame	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
millennial_women_professionals__sleep_anxiety__false_alarm	millennial_women_professionals	sleep_anxiety	false_alarm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
millennial_women_professionals__sleep_anxiety__overwhelm	millennial_women_professionals	sleep_anxiety	overwhelm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
millennial_women_professionals__sleep_anxiety__spiral	millennial_women_professionals	sleep_anxiety	spiral	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
millennial_women_professionals__social_anxiety__comparison	millennial_women_professionals	social_anxiety	comparison	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
millennial_women_professionals__social_anxiety__false_alarm	millennial_women_professionals	social_anxiety	false_alarm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
millennial_women_professionals__social_anxiety__shame	millennial_women_professionals	social_anxiety	shame	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
millennial_women_professionals__somatic_healing__overwhelm	millennial_women_professionals	somatic_healing	overwhelm	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
millennial_women_professionals__somatic_healing__watcher	millennial_women_professionals	somatic_healing	watcher	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
tech_finance_burnout__anxiety__comparison	tech_finance_burnout	anxiety	comparison	2	ASSEMBLED-PASS	BUILT	YES	register PASS
tech_finance_burnout__anxiety__false_alarm	tech_finance_burnout	anxiety	false_alarm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
tech_finance_burnout__anxiety__grief	tech_finance_burnout	anxiety	grief	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
tech_finance_burnout__anxiety__overwhelm	tech_finance_burnout	anxiety	overwhelm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
tech_finance_burnout__anxiety__shame	tech_finance_burnout	anxiety	shame	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
tech_finance_burnout__anxiety__spiral	tech_finance_burnout	anxiety	spiral	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
tech_finance_burnout__anxiety__watcher	tech_finance_burnout	anxiety	watcher	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
tech_finance_burnout__boundaries__comparison	tech_finance_burnout	boundaries	comparison	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
tech_finance_burnout__boundaries__false_alarm	tech_finance_burnout	boundaries	false_alarm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
tech_finance_burnout__boundaries__shame	tech_finance_burnout	boundaries	shame	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
tech_finance_burnout__burnout__grief	tech_finance_burnout	burnout	grief	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
tech_finance_burnout__burnout__overwhelm	tech_finance_burnout	burnout	overwhelm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
tech_finance_burnout__burnout__watcher	tech_finance_burnout	burnout	watcher	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
tech_finance_burnout__compassion_fatigue__grief	tech_finance_burnout	compassion_fatigue	grief	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
tech_finance_burnout__compassion_fatigue__overwhelm	tech_finance_burnout	compassion_fatigue	overwhelm	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
tech_finance_burnout__compassion_fatigue__watcher	tech_finance_burnout	compassion_fatigue	watcher	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
tech_finance_burnout__courage__false_alarm	tech_finance_burnout	courage	false_alarm	2	ASSEMBLED-PASS	BUILT	YES	register PASS
tech_finance_burnout__courage__shame	tech_finance_burnout	courage	shame	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
tech_finance_burnout__courage__spiral	tech_finance_burnout	courage	spiral	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
tech_finance_burnout__depression__grief	tech_finance_burnout	depression	grief	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
tech_finance_burnout__depression__overwhelm	tech_finance_burnout	depression	overwhelm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
tech_finance_burnout__depression__watcher	tech_finance_burnout	depression	watcher	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
tech_finance_burnout__financial_anxiety__overwhelm	tech_finance_burnout	financial_anxiety	overwhelm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
tech_finance_burnout__financial_anxiety__shame	tech_finance_burnout	financial_anxiety	shame	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
tech_finance_burnout__financial_anxiety__spiral	tech_finance_burnout	financial_anxiety	spiral	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
tech_finance_burnout__financial_stress__overwhelm	tech_finance_burnout	financial_stress	overwhelm	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
tech_finance_burnout__financial_stress__shame	tech_finance_burnout	financial_stress	shame	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
tech_finance_burnout__financial_stress__spiral	tech_finance_burnout	financial_stress	spiral	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
